ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Altitude,Latitude Decimal Degrees,Longitude Decimal Degrees
DAAZ,,RELIZANE,RELIZANE,ALGERIA,35,45,8,N,0,37,34,E,86,35.752,0.626
DABB,AAE,ANNABA,ANNABA,ALGERIA,36,49,20,N,7,48,33,E,5,36.822,7.809
DABC,CZL,MOHAMED BOUDIAF INTERNATIONAL,CONSTANTINE,ALGERIA,36,16,36,N,6,37,26,E,691,36.277,6.624
DABP,,,SKIKDA,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DABS,TEE,CHEIKH LARBI TEBESSI,TEBESSA,ALGERIA,35,25,53,N,8,7,14,E,812,35.431,8.121
DABT,,,BATNA,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DADF,,,DARRA-I-SOOF,AFGHANISTAN,0,0,0,U,0,0,0,U,0,0.0,0.0
DAFH,HRM,HASSI R MEL,TILREMPT,ALGERIA,32,55,47,N,3,18,44,E,775,32.93,3.312
DAFI,,,DJELFA,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DAOB,TID,BOU CHEKIF,TIARET,ALGERIA,35,20,28,N,1,27,47,E,990,35.341,1.463
DAOC,CBH,,BECHAR,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DAOE,,BOU SFER,BOU SFER,ALGERIA,35,44,7,N,0,48,19,W,57,35.735,-0.805
DAOF,TIN,TINDOUF,TINDOUF,ALGERIA,27,42,1,N,8,10,1,W,443,27.7,-8.167
DAOI,QAS,ECH CHELIFF,ECH-CHELIFF,ALGERIA,36,12,45,N,1,19,54,E,142,36.213,1.332
DAOL,TAF,TAFARAOUI,ORAN,ALGERIA,35,32,32,N,0,31,56,W,112,35.542,-0.532
DAON,TLM,ZENATA,TLEMCEN,ALGERIA,35,1,0,N,1,27,0,W,249,35.017,-1.45
DAOO,ORN,ES SENIA,ORAN,ALGERIA,35,37,25,N,0,37,16,W,90,35.624,-0.621
DAOS,,SIDI BEL ABBES,SIDI BEL ABBES,ALGERIA,35,10,18,N,0,35,35,W,492,35.172,-0.593
DAOV,MUW,GHRISS,GHRISS,ALGERIA,35,12,27,N,0,8,49,E,514,35.208,0.147
DASM,,,SAMANGAN,AFGHANISTAN,0,0,0,U,0,0,0,U,0,0.0,0.0
DATG,INF,,IN GUEZZAM,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DATM,BMW,,BORDJ MOKHTAR,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DAUA,AZR,TOUAT CHEIKH SIDI MOHAMED BELKEBIR,ADRAR,ALGERIA,27,50,15,N,0,11,11,W,281,27.837,-0.186
DAUB,BSK,BISKRA,BISKRA,ALGERIA,34,47,35,N,5,44,17,E,89,34.793,5.738
DAUE,ELG,EL GOLEA,EL GOLEA,ALGERIA,30,34,16,N,2,51,34,E,399,30.571,2.859
DAUG,GHA,NOUMERATE,GHARDAIA,ALGERIA,32,23,2,N,3,47,38,E,461,32.384,3.794
DAUH,HME,OUED IRARA,HASSI-MESSAOUD,ALGERIA,31,40,22,N,6,8,25,E,142,31.673,6.14
DAUI,INZ,IN SALAH,IN SALAH,ALGERIA,27,15,3,N,2,30,43,E,270,27.251,2.512
DAUK,TGR,SIDI MAHDI,TOUGGOURT,ALGERIA,33,4,4,N,6,5,19,E,86,33.068,6.089
DAUL,LOO,LAGHOUAT,LAGHOUAT,ALGERIA,33,45,50,N,2,55,38,E,766,33.764,2.927
DAUT,TMX,TIMIMOUN,TIMIMOUN,ALGERIA,29,14,13,N,0,16,33,E,314,29.237,0.276
DAUU,OGX,OUARGLA,OUARGLA,ALGERIA,31,55,2,N,5,24,46,E,150,31.917,5.413
DAUZ,IAM,IN AMENAS,ZARZAITINE,ALGERIA,28,3,5,N,9,38,34,E,563,28.051,9.643
DBBB,COO,COTONOU CADJEHOUN,COTONOU,BENIN,6,21,26,N,2,23,3,E,6,6.357,2.384
DBBC,,,CANA,BENIN,0,0,0,U,0,0,0,U,0,0.0,0.0
DBBD,,,DJOUGOU,BENIN,0,0,0,U,0,0,0,U,0,0.0,0.0
DBBK,KDC,,KANDI,BENIN,0,0,0,U,0,0,0,U,0,0.0,0.0
DBBN,NAE,,NATITINGOU,BENIN,0,0,0,U,0,0,0,U,0,0.0,0.0
DBBO,,,PORGA,BENIN,0,0,0,U,0,0,0,U,0,0.0,0.0
DBBP,PKO,PARAKOU,PARAKOU,BENIN,9,21,25,N,2,36,32,E,386,9.357,2.609
DBBR,,,BEMBEREKE,BENIN,0,0,0,U,0,0,0,U,0,0.0,0.0
DBBS,,,SAVE,BENIN,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCA,,,KAYA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCB,,,BARSALOGHO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCC,OUG,,OUAHIGOUYA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
